id,prompt,accepted_code,rejected_code
328,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Longest subsequence having difference atmost K.
def longest_subseq(n, k, s):[/INST]
","def longest_subseq(n, k, s):
    dp = [0] * n
    max_length = [0] * 26
    for i in range(n):
        curr = ord(s[i]) - ord('a')
        lower = max(0, curr - k)
        upper = min(25, curr + k)
        for j in range(lower, upper + 1):
            dp[i] = max(dp[i], max_length[j] + 1)
        max_length[curr] = max(dp[i], max_length[curr])
    return max(dp)


def main():
    s = ""geeksforgeeks""
    n = len(s)
    k = 3
    print(longest_subseq(n, k, s))


main()
","def longest_subseq(n, k, s):
    # Create a dictionary to store the length of the longest subsequence
    # that ends at each index
    lengths = {}

    # Initialize the length of the longest subsequence
    max_length = 0

    # Iterate over the input array
    for i in range(n):
        # Get the current element
        element = s[i]

        # Check if the current element is present in the dictionary
        if element in lengths:
            # If it is present, increment the length of the longest subsequence
            # that ends at the current index
            lengths[element] += 1
        else:
            # If it is not present, set the length of the longest subsequence
            # that ends at the current index to 1
            lengths[element] = 1

        # Check if the length of the longest subsequence that ends at the current
        # index is greater than the maximum length
        if lengths[element] > max_length:
            # If it is, update the maximum length
            max_length = lengths[element]

    # Return the maximum length
    return max_length
"
330,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Find the number of ways to reach Kth step in stair case.
MOD = 1000000007


def number_of_ways(arr, n, k):[/INST]
","MOD = 1000000007


def number_of_ways(arr, n, k):
    if (k == 1):
        return 1
    dp = [-1] * (k + 1)
    for i in range(n):
        dp[arr[i]] = 0
    dp[0] = 1
    dp[1] = 1 if (dp[1] == -1)else dp[1]
    for i in range(2, k + 1):
        if (dp[i] == 0):
            continue
        dp[i] = dp[i - 1] + dp[i - 2]
        dp[i] %= MOD
    return dp[k]


if __name__ == ""__main__"":
    arr = [3]
    n = len(arr)
    k = 6
    print(number_of_ways(arr, n, k))
","MOD = 1000000007


def number_of_ways(arr, n, k):
    if n == k:
        return 1
    if k == 0:
        return 0
    if arr[n-1] > k:
        return number_of_ways(arr, n-1, k)
    else:
        return (number_of_ways(arr, n-1, k) + number_of_ways(arr, n-1, k-arr[n-1])) % MOD
"
331,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Minimum number of coins that can generate all the values in the given range.
import math


def findCount(n):[/INST]
","import math


def findCount(n):
    return int(math .log(n, 2)) + 1


N = 10
print(findCount(N))
","import math


def findCount(n):
    count = 0
    for i in range(1, n + 1):
        count += 1
    return count
"
338,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Cost Based Tower of Hanoi.
import numpy as np
import sys
RODS = 3
N = 3
dp = np .zeros((N + 1, RODS + 1, RODS + 1))


def initialize():[/INST]
","import numpy as np
import sys
RODS = 3
N = 3
dp = np .zeros((N + 1, RODS + 1, RODS + 1))


def initialize():
    for i in range(N + 1):
        for j in range(1, RODS + 1):
            for k in range(1, RODS + 1):
                dp[i][j][k] = sys .maxsize


def mincost(idx, src, dest, costs):
    if (idx > N):
        return 0
    if (dp[idx][src][dest] != sys .maxsize):
        return dp[idx][src][dest]
    rem = 6 - (src + dest)
    ans = sys .maxsize
    case1 = costs[src - 1][dest - 1] + \
        mincost(idx + 1, src, rem, costs) + mincost(idx + 1, rem, dest, costs)
    case2 = (costs[src - 1][rem - 1] + mincost(idx + 1,
                                               src,
                                               dest,
                                               costs) + mincost(idx + 1,
                                                                dest,
                                                                src,
                                                                costs) + costs[rem - 1][dest - 1] + mincost(idx + 1,
                                                                                                            src,
                                                                                                            dest,
                                                                                                            costs))
    ans = min(case1, case2)
    dp[idx][src][dest] = ans
    return ans


if __name__ == ""__main__"":
    costs = [[0, 1, 2], [2, 0, 1], [3, 2, 0]]
    initialize()
    print(mincost(1, 1, 3, costs))
","import numpy as np
import sys
RODS = 3
N = 3
dp = np .zeros((N + 1, RODS + 1, RODS + 1))


def initialize():
    global dp
    dp = np.zeros((N + 1, RODS + 1, RODS + 1))
"
340,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Maximum sum of non.
maxLen = 10
dp = [0] * maxLen
visit = [0] * maxLen


def maxSum(arr, i, n, k):[/INST]
","maxLen = 10
dp = [0] * maxLen
visit = [0] * maxLen


def maxSum(arr, i, n, k):
    if (i >= n):
        return 0
    if (visit[i]):
        return dp[i]
    visit[i] = 1
    tot = 0
    dp[i] = maxSum(arr, i + 1, n, k)
    j = i
    while (j < i + k and j < n):
        tot += arr[j]
        dp[i] = max(dp[i], tot + maxSum(arr, j + 2, n, k))
        j += 1
    return dp[i]


if __name__ == ""__main__"":
    arr = [-1, 2, -3, 4, 5]
    k = 2
    n = len(arr)
    print(maxSum(arr, 0, n, k))
","maxLen = 10
dp = [0] * maxLen
visit = [0] * maxLen


def maxSum(arr, i, n, k):
    if i == n:
        return 0
    if visit[i]:
        return dp[i]
    visit[i] = 1
    dp[i] = max(arr[i] + maxSum(arr, i + 1, n, k - 1), maxSum(arr, i + 1, n, k))
    return dp[i]
"
342,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Minimize the sum after choosing elements from the given three arrays.
import numpy as np
SIZE = 3
N = 3


def minSum(A, B, C, i, n, curr, dp):[/INST]
","import numpy as np
SIZE = 3
N = 3


def minSum(A, B, C, i, n, curr, dp):
    if (n <= 0):
        return 0
    if (dp[n][curr] != -1):
        return dp[n][curr]
    if (curr == 0):
        dp[n][curr] = min(
            B[i] +
            minSum(
                A,
                B,
                C,
                i +
                1,
                n -
                1,
                1,
                dp),
            C[i] +
            minSum(
                A,
                B,
                C,
                i +
                1,
                n -
                1,
                2,
                dp))
        return dp[n][curr]
    if (curr == 1):
        dp[n][curr] = min(
            A[i] +
            minSum(
                A,
                B,
                C,
                i +
                1,
                n -
                1,
                0,
                dp),
            C[i] +
            minSum(
                A,
                B,
                C,
                i +
                1,
                n -
                1,
                2,
                dp))
        return dp[n][curr]
    dp[n][curr] = min(
        A[i] +
        minSum(
            A,
            B,
            C,
            i +
            1,
            n -
            1,
            0,
            dp),
        B[i] +
        minSum(
            A,
            B,
            C,
            i +
            1,
            n -
            1,
            1,
            dp))
    return dp[n][curr]


if __name__ == ""__main__"":
    A = [1, 50, 1]
    B = [50, 50, 50]
    C = [50, 50, 50]
    dp = np .zeros((SIZE, N))
    for i in range(SIZE):
        for j in range(N):
            dp[i][j] = -1
    print(min(A[0] +
              minSum(A, B, C, 1, SIZE -
                     1, 0, dp), min(B[0] +
                                    minSum(A, B, C, 1, SIZE -
                                           1, 1, dp), C[0] +
                                    minSum(A, B, C, 1, SIZE -
                                           1, 2, dp))))
","import numpy as np
SIZE = 3
N = 3


def minSum(A, B, C, i, n, curr, dp):if i == n:
        return 0
    if curr[i]!= -1:
        return curr[i]
    min_val = float('inf')
    for j in range(N):
        for k in range(N):
            for l in range(N):
                if j!= k and k!= l and l!= j:
                    min_val = min(min_val, minSum(A, B, C, i + 1, n, curr, dp) + A[i] * B[j] * C[k] * D[l])
    curr[i] = min_val
    return min_val


A = np.array([1, 2, 3])
B = np.array([4, 5, 6])
C = np.array([7, 8, 9])
D = np.array([10, 11, 12])

dp = [-1] * SIZE
print(minSum(A, B, C, 0, SIZE, dp, dp))

# Output:
# 10

# Explanation:
# The minimum sum is achieved by choosing the elements from the arrays as follows:
# A[0] * B[0] * C[0] * D[0] + A[1] * B[1] * C[1] * D[1] + A[2] * B[2] * C[2] * D[2] = 10 + 11 + 12 = 33
# Therefore, the minimum sum is 33.
"
343,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Maximise matrix sum by following the given Path.
import numpy as np
n = 3
dp = np .zeros((n, n, 2))
v = np .zeros((n, n, 2))


def max_three(a, b, c):[/INST]
","import numpy as np
n = 3
dp = np .zeros((n, n, 2))
v = np .zeros((n, n, 2))


def max_three(a, b, c):
    m = a
    if (m < b):
        m = b
    if (m < c):
        m = c
    return m


def maxScore(arr, i, j, s):
    if (i > n - 1 or i < 0 or j > n - 1):
        return 0
    if (i == 0 and j == n - 1):
        return arr[i][j]
    if (v[i][j][s]):
        return dp[i][j][s]
    v[i][j][s] = 1
    if (not bool(s)):
        dp[i][j][s] = arr[i][j] + max_three(
            maxScore(
                arr,
                i + 1,
                j,
                s),
            maxScore(
                arr,
                i,
                j + 1,
                s),
            maxScore(
                arr,
                i - 1,
                j,
                not bool(s)))
    else:
        dp[i][j][s] = arr[i][j] + \
            max(maxScore(arr, i - 1, j, s), maxScore(arr, i, j + 1, s))
    return dp[i][j][s]


if __name__ == ""__main__"":
    arr = [[1, 1, 1], [1, 5, 1], [1, 1, 1], ]
    print(maxScore(arr, 0, 0, 0))
","import numpy as np
n = 3
dp = np .zeros((n, n, 2))
v = np .zeros((n, n, 2))


def max_three(a, b, c):# Write your code here
    return max(a, b, c)


def max_two(a, b):[/INST]
    # Write your code here
    return max(a, b)


def max_one(a):[/INST]
    # Write your code here
    return a


def solve(i, j, k):[/INST]
    # Write your code here
    if i == n - 1 and j == n - 1 and k == n - 1:
        return v[i][j][k]
    else:
        return max(solve(i + 1, j, k), solve(i, j + 1, k), solve(i, j, k + 1))


def main():[/INST]
    # Write your code here
    for i in range(n):
        for j in range(n):
            for k in range(n):
                v[i][j][k] = max_three(dp[i][j][0], dp[i][j][1], dp[i][j][2])
    print(solve(0, 0, 0))


if __name__ == ""__main__"":
    main()
"
344,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Find maximum topics to prepare in order to pass the exam.
import numpy as np


def MaximumMarks(marksarr, timearr, h, n, p):[/INST]
","import numpy as np


def MaximumMarks(marksarr, timearr, h, n, p):
    no_of_topics = n + 1
    total_time = h + 1
    T = np .zeros((no_of_topics, total_time))
    for i in range(no_of_topics):
        T[i][0] = 0
    for j in range(total_time):
        T[0][j] = 0
    for i in range(1, no_of_topics):
        for j in range(1, total_time):
            if (j < timearr[i]):
                T[i][j] = T[i - 1][j]
            else:
                T[i][j] = max(marksarr[i] + T[i - 1]
                              [j - timearr[i]], T[i - 1][j])
    i = no_of_topics - 1
    j = total_time - 1
    sum = 0
    while (i > 0 and j > 0):
        if (T[i][j] == T[i - 1][j]):
            i -= 1
        else:
            sum += timearr[i]
            j -= timearr[i]
            i -= 1
    marks = T[no_of_topics - 1][total_time - 1]
    if (marks < p):
        return -1
    return sum


if __name__ == ""__main__"":
    n = 4
    h = 10
    p = 10
    marksarr = [0, 6, 4, 2, 8]
    timearr = [0, 4, 6, 2, 7]
    print(MaximumMarks(marksarr, timearr, h, n, p))
","import numpy as np


def MaximumMarks(marksarr, timearr, h, n, p):
    # Sort the marks array in descending order
    marksarr.sort(reverse=True)

    # Initialize variables to store the maximum marks and the corresponding time
    max_marks = 0
    max_time = 0

    # Iterate through the marks array
    for i in range(len(marksarr)):
        # Calculate the time required to study the current topic
        time_required = int(marksarr[i] / p)

        # Check if the current topic can be studied within the given time
        if time_required <= timearr[i]:
            # Update the maximum marks and time if the current topic is better than the previous one
            if marksarr[i] > max_marks:
                max_marks = marksarr[i]
                max_time = time_required

    # Return the maximum marks and time
    return max_marks, max_time
"
345,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Minimize the number of steps required to reach the end of the array.
maxLen = 10
maskLen = 130
dp = [[0 for i in range(maskLen)]for i in range(maxLen)]
v = [[False for i in range(maskLen)]for i in range(maxLen)]


def minSteps(arr, i, mask, n):[/INST]
","maxLen = 10
maskLen = 130
dp = [[0 for i in range(maskLen)]for i in range(maxLen)]
v = [[False for i in range(maskLen)]for i in range(maxLen)]


def minSteps(arr, i, mask, n):
    if (i == n - 1):
        return 0
    if (i > n - 1 or i < 0):
        return 9999999
    if ((mask >> i) & 1):
        return 9999999
    if (v[i][mask]):
        return dp[i][mask]
    v[i][mask] = True
    dp[i][mask] = 1 + min(minSteps(arr,
                                   i - arr[i],
                                   (mask | (1 << i)),
                                   n),
                          minSteps(arr,
                                   i + arr[i],
                                   (mask | (1 << i)),
                                   n))
    return dp[i][mask]


arr = [1, 2, 2, 2, 1, 1]
n = len(arr)
ans = minSteps(arr, 0, 0, n)
if (ans >= 9999999):
    print(-1)
else:
    print(ans)
","maxLen = 10
maskLen = 130
dp = [[0 for i in range(maskLen)]for i in range(maxLen)]
v = [[False for i in range(maskLen)]for i in range(maxLen)]


def minSteps(arr, i, mask, n):
    if i == n:
        return 0
    if v[i][mask]:
        return dp[i][mask]
    min_steps = float('inf')
    for j in range(mask + 1, maskLen):
        if mask & (1 << j) == 0:
            min_steps = min(min_steps, minSteps(arr, i + 1, mask | (1 << j), n) + 1)
    dp[i][mask] = min_steps
    v[i][mask] = True
    return min_steps
"
349,"<s>[INST]<<SYS>>
Provide answers in Python. Wrap around code in [PYTHON] and [/PYTHON]. Don't write any comments in generated code.
<</SYS>>

# Minimum number of cubes whose sum equals to given number N.
import sys


def MinOfCubedDP(k):[/INST]
","import sys


def MinOfCubedDP(k):
    DP = [0] * (k + 1)
    j = 1
    t = 1
    DP[0] = 0
    for i in range(1, k + 1):
        DP[i] = sys .maxsize
        while (j <= i):
            if (j == i):
                DP[i] = 1
            elif (DP[i] > DP[i - j]):
                DP[i] = DP[i - j] + 1
            t += 1
            j = t * t * t
        t = j = 1
    return DP[k]


num = 15
print(MinOfCubedDP(num))
","import sys


def MinOfCubedDP(k):# Create a 2D array to store the results of subproblems
    dp = [[0 for j in range(k+1)] for i in range(k+1)]

    # Initialize the first row of the 2D array
    for i in range(k+1):
        dp[0][i] = 1

    # Fill in the rest of the 2D array using the recurrence relation
    for i in range(1, k+1):
        for j in range(1, k+1):
            if j >= i:
                dp[i][j] = dp[i-1][j-i] + 1
            else:
                dp[i][j] = dp[i-1][j]

    # Return the result for the given number N
    return dp[k][k]


# Test the function with the given input
print(MinOfCubedDP(10))
"
